headline_text,article_url,article_preview,date,author
Savage Garden frontman Darren Hayes reveals mental health battle and how he was consumed by sadness before embracing his 'full self',/tvshowbiz/article-10451963/Savage-Garden-frontman-Darren-Hayes-reveals-mental-health-battle.html,Darren Hayes has revealed that he struggled with his mental health before embracing his 'full self'. ,2022-01-28 12:31:38,Marta Jary For Daily Mail Australia
LAX airport worker reveals what Thor actor Chris Hemsworth is REALLY like - and gushes that he's 'literally so handsome' in person ,/tvshowbiz/article-10451761/LAX-airport-worker-reveals-Thor-actor-Chris-Hemsworth-REALLY-like.html,A former employee at Los Angeles International Airport has revealed some of the big name celebrities she has encountered on the job including Aussie actor Chris Hemsworth.,2022-01-28 12:37:38,Jesse Hyland
"Ashley Roberts, 40, displays her style credentials in velvet turquoise co-ord as she leaves Heart radio show",/tvshowbiz/article-10451945/Ashley-Roberts-displays-style-credentials-velvet-turquoise-ord-leaves-Heart-radio.html,"The Pussycat Dolls singer, 40, turned heads in the eye-catching velvet shirt which she wore with the matching trousers.",2022-01-28 12:39:37,Milly Veitch For Mailonline
Christina Milian and an ab-flashing Karrueche Tran dance up a storm as they party with PLT executive at LA bash,/tvshowbiz/article-10451779/Christina-Milian-Karrueche-Tran-trendy-display-party-J-Ryan-La-Cour.html,"Christina Milian and Karrueche Tran stepped out in LA on Thursday for  J.Ryan La Cour launch party for his new single. Christina, 40, and Karrueche, 33, showed up to party with their friends.",2022-01-28 12:45:07,Codie Bullen For Mailonline
Newly-engaged Manchester City footballer Ilkay Gundogan and his model fiancée Sara Arfaoui pack on the PDA as they shop on Rodeo Drive,/tvshowbiz/article-10452033/Ilkay-Gundogan-model-fianc-e-Sara-Arfaoui-shop-Rodeo-Drive.html,"Sara, 26, lovingly wrapped her arms around her husband-to-be's neck as they packed on the PDA during their outing.",2022-01-28 12:52:09,Charlotte Dean For Mailonline
'It was so scary': Terrified Charlotte Dawson reveals she had to call an ambulance after her one-year-old son Noah's temperature spiked to 39.7C,/tvshowbiz/article-10452157/Charlotte-Dawson-reveals-call-ambulance.html,"The star, 29, had told her followers on Instagram on Thursday night that Noah, who just celebrated turning one this week, had been sent home from nursery earlier in the day.",2022-01-28 12:56:34,Amelia Wynne For Mailonline
From JLo to Jenny from the Block! Jennifer Lopez sports a chic tartan outfit before switching to sweatpants and Nike Air Jordans at dance studio ,/tvshowbiz/article-10452215/Jennifer-Lopez-sports-chic-tartan-outfit-switching-sweatpants.html,Jennifer Lopez switched up her style on Thursday as she was first seen wearing a chic tartan ensemble before switching into sweatpants and trainers.,2022-01-28 13:22:13,Charlotte Dean For Mailonline
Nadiya Bychkova is in great spirits as she makes a chic exit from Newcastle hotel with her Strictly pals ahead of another busy day on the live tour,/tvshowbiz/article-10451991/Nadiya-Bychkova-appears-great-spirits-steps-stylish-blue-white-checked-coat.html,"Nadiya Bychkova appeared in great spirits on Friday as she was spotted waving at photographers as she left the Hilton Hotel in Gateshead, Newcastle.",2022-01-28 13:26:03,Ellen Coughlan
Laura Byrne reveals she still has every single rose that fiancé Matty Johnson ever gave her on The Bachelor - and jokes that their love has 'lasted better' than the wilted blooms ,/tvshowbiz/article-10452197/Laura-Byrne-single-rose-fianc-Matty-Johnson-gave-Bachelor.html,Laura Byrne has revealed that she's quite sentimental at heart. ,2022-01-28 13:42:53,Marta Jary For Daily Mail Australia
Maisie Smith puts on a busty display in a plunging sports bra while Katya Jones looks chic in a nude polo neck in Newcastle ahead of Strictly live tour,/tvshowbiz/article-10452137/Maisie-Smith-Katya-Jones-leave-hotel-Newcastle-ahead-Strictly-live-tour.html,The ladies were spotted outside their hotel in Newcastle ahead of tonight's Strictly Come Dancing live tour.,2022-01-28 13:44:00,Ellie Phillips For Mailonline
I'm a Celebrity's fake influencer 'The David' Subritzky turns heads in a chic white suit and towering stilettos as he campaigns to win the show with fans in Surfers Paradise,/tvshowbiz/article-10452241/Im-Celebrity-Heres-David-spotted-campaigning-Surfers-Paradise.html,David Subritzky quickly became a favourite with viewers after appearing on I'm A Celebrity... Get Me Out Of Here! Australia. ,2022-01-28 13:52:39,Marta Jary For Daily Mail Australia
'Can't wait to perform again!' Strictly's Tilly Ramsay and Nikita Kuzmin share cosy backstage tour snaps after being reunited following his Covid isolation,/tvshowbiz/article-10452245/Strictlys-Tilly-Ramsay-Nikita-Kuzmin-share-cosy-backstage-tour-snaps.html,"The presenter, 20, and the dancer, 24, looked like they were getting on better than ever in the picture as they hugged and Nikita playfully touched her nose.",2022-01-28 13:55:57,Amelia Wynne For Mailonline
Inside The Project's 'civil war' as THREE hosts publicly turn on Peter van Onselen for calling Grace Tame 'rude and childish' while visiting the PM - and why it could lead to the political editor QUITTING the show,/tvshowbiz/article-10450379/The-Project-hosts-turn-Peter-van-Onselen-rumours-quit.html,Peter van Onselen's future as a panelist on The Project has been called into question after three of his colleagues publicly condemned him for his column criticising former AOTY Grace Tame,2022-01-28 14:28:06,Jo Scrimshire For Daily Mail Australia
Lindy Klim puts on a united front with her swimmer ex-husband Michael as their daughter Stella celebrates her 16th birthday,/tvshowbiz/article-10452393/Lindy-Klim-puts-united-swimmer-ex-husband-Michael.html,Lindy Klim and her ex-husband Michael Klim have put their differences behind them. ,2022-01-28 14:36:51,Marta Jary For Daily Mail Australia
Drew Barrymore claims she had 'an open relationship' with actor Luke Wilson in the late 1990s: 'We were young!',/tvshowbiz/article-10452517/Drew-Barrymore-claims-open-relationship-actor-Luke-Wilson.html,The ET actress shared with guest Kate Hudson that she had an 'open relationship' with actor Luke Wilson in the late 1990s. They were together from 1997 until 1999.,2022-01-28 14:44:08,Heidi Parker For Dailymail.com
Dua Lipa puts on a colourful display in a bright orange padded jacket as she bundles up for a stroll in New York... a month after splitting from boyfriend Anwar Hadid,/tvshowbiz/article-10452257/Dua-Lipa-goes-incognito-quote-sweatshirt-Bella-Hadid-month-split-Anwar.html,"The singer, 26, was sure to catch the eye as she stepped out in a bright orange jacket while out and about in New York on Friday.",2022-01-28 14:52:51,Jonathan Rose For Mailonline
'I may not have got everything right but I like who I am more than ever': Emma Roberts wows in plunging red gown and speaks out on motherhood following split from Garrett Hedlund ,/tvshowbiz/article-10452559/Emma-Roberts-speaks-motherhood-following-split-Garrett-Hedlund.html,"Emma Roberts has admitted she's the most content she's ever been, in a new interview published as news of her split from Garrett Hedlund broke.",2022-01-28 14:55:17,Joanna Crawley For Mailonline
Made In Chelsea's Nicola Hughes and husband Charlie Tupper put on a PDA as they continue to celebrate married life on the slopes of the French Alps,/tvshowbiz/article-10451769/Nicola-Hughes-husband-Charlie-Tupper-loved-display-hit-slopes-French-Alps.html,Nicola Hughes and husband Charlie Tupper showed a loved-up display as they continued to celebrate married life by hitting the slopes in the French Alps on Friday.,2022-01-28 14:58:31,Ellen Coughlan For Mailonline
Pregnant Lauren Goodger looks radiant as she steps out in black padded jacket - after hinting she will reconcile with ex Charles Drury,/tvshowbiz/article-10452455/Lauren-Goodger-looks-radiant-steps-announcing-second-child-ex-Charles-Drury.html,"Lauren Goodger, 35, looked radiant as she stepped out in an oversized black padded jacket on Friday to visit the hair dressers in Essex.",2022-01-28 15:22:15,Ellen Coughlan
'I felt like I was living a lie by not sharing it': Lady Gaga says she found it healing to speak publicly about being raped aged 19 and felt 'more comfortable in the world' afterwards,/tvshowbiz/article-10452641/Lady-Gaga-says-healing-speak-pubicly-raped-aged-19.html,Lady Gaga has told how she felt like she was 'living a lie' by not sharing her rape ordeal and felt 'more comfortable' after speaking publicy about the assault.,2022-01-28 15:26:11,Charlotte Dean For Mailonline
Rose Leslie looks unrecognisable in unearthed snaps from her first TV role as a drug smuggler four years before she found fame on Game Of Thrones,/tvshowbiz/article-10452403/Rose-Leslie-looks-unrecognisable-unearthed-snaps-TV-role.html,"The actress, 34, first entered the showbiz realm back in 2008 when she was cast in the popular docudrama series in an episode about drug smuggling in Peru.",2022-01-28 15:26:42,Milly Veitch For Mailonline
'We've lost five embryos in the last year': Made In Chelsea's Ollie Locke and husband Gareth discuss unsuccessful attempts to have a baby via surrogate ,/tvshowbiz/article-10452293/Ollie-Locke-speaks-husband-Gareths-unsuccessful-attempts-baby.html,Ollie Locke and his husband Gareth have spoken out about their unsuccessful attempts to have a baby and how it remains their 'main focus' going forward.,2022-01-28 15:29:19,Codie Bullen For Mailonline
He's All That actress Addison Rae shows off her toned tummy in a flirty pink plaid top and pleated skirt during a photo shoot in LA,/tvshowbiz/article-10452585/Addison-Rae-shows-toned-tummy-flirty-pink-plaid-top.html,On Thursday the He's All That actress and top TikTok star shared three new photos to Instagram where she looked radiant in a light colored outfit. Her tummy was showing.,2022-01-28 15:29:33,Heidi Parker For Dailymail.com
Perrie Edwards shows off her incredible figure in a cow print bikini during lavish break... five months after giving birth to son Axel,/tvshowbiz/article-10452669/Perrie-Edwards-shows-incredible-post-baby-body-cow-print-bikini-lavish-break.html,"The Little Mix singer, 28, took to Instagram on Friday to share jaw-dropping snaps of herself in the skimpy swimwear while posing in a cabana",2022-01-28 15:45:49,Ellie Phillips For Mailonline
'I'm learning to skate again': Rachel Stevens discusses returning to the Dancing On Ice rink after a fractured  wrist thwarted her first performance,/tvshowbiz/article-10452655/Rachel-Stevens-discusses-returning-Dancing-Ice-rink-fracturing-wrist.html,"Speaking on This Morning on Friday, the S Club star, 43, revealed she was 'nervous' watching last week's show despite being sat on the sidelines.",2022-01-28 15:53:18,Milly Veitch For Mailonline
Katie Price unveils her short blonde bob after having her extensions taken out... as she goes back to her glamour girl roots by signing up to OnlyFans,/tvshowbiz/article-10452645/Katie-Price-unveils-short-blonde-bob-having-extensions-taken-out.html,"The former glamour model, 43, took to her Instagram Story as she was driven to the hairdresser by her fiance Carl Woods to give an update to fans.",2022-01-28 15:53:48,Amelia Wynne For Mailonline
George Clooney says he and Brad Pitt accepted LESS money on their next movie so that they could ensure it would get a theatrical release,/tvshowbiz/article-10452453/Brad-Pitt-George-Clooney-accepted-money-movie-ensure-theatrical-release.html,Brad Pitt and George Clooney accepted less money for their upcoming movie in order to ensure that it would be released theatrically. George explained his reasoning in a Deadline interview.,2022-01-28 16:06:12,Sameer Suri For Dailymail.com
Kanye West CONFIRMS Donda sequel album... that will feature diss track where he threatens Kim Kardashian's boyfriend Pete Davidson ,/tvshowbiz/article-10452879/Kanye-West-CONFIRMS-Donda-sequel-album-divulging-significance-imminent-release-date.html,"Kanye West announced the sequel to his Donda album with a photo of a home on fire with the date Feb. 22, 2022 across it.",2022-01-28 16:22:53,Deirdre Simonds
"Beaming Molly-Mae Hague totes a £1,750 Balenciaga bag while shopping with her pals - before returning to her Range Rover to find a parking ticket",/tvshowbiz/article-10452515/Molly-Mae-Hague-laughs-friends-shopping-Manchester-getting-parking-ticket.html,"Molly-Mae Hague laughed and joked with her gal pals while shopping in Manchester on Friday, before the smile was wiped away by getting a parking ticket. ",2022-01-28 16:25:00,Jonathan Rose For Mailonline
Christina Aguilera headlines Brighton Pride! Singer and LGBTQ+ ally is announced for this year's 30th anniversary We Are Fabuloso event,/tvshowbiz/article-10452617/Christina-Aguilera-announced-headliner-years-Brighton-Pride.html,Christina Aguilera has been announced as the headline act for the Brighton & Hove Pride festival on Saturday 6th August. ,2022-01-28 16:30:57,Ellen Coughlan For Mailonline
"Uma Thurman, 51, dyes her blonde hair red to play businesswoman Arianna Huffington, 71, in new trailer for Super Pumped: The Battle For Uber",/tvshowbiz/article-10452771/Uma-Thurman-unrecognizable-Arianna-Huffington-Super-Pumped.html,"Uma Thurman is almost unrecognizable as she has dyed her blonde hair red to play Arianna Huffington, a Greek-American author, syndicated columnist and businesswoman in Super Pumped.",2022-01-28 16:35:48,Heidi Parker For Dailymail.com
Love Island's Faye Winter unveils results of mole removal as she shows off bandaged scar on her stomach during sizzling lingerie shoot,/tvshowbiz/article-10452787/Love-Islands-Faye-Winter-unveils-results-mole-removal-shows-bandaged-stomach-scar.html,"The Love Island star took to her Instagram where she shared a tantalising video of herself modelling underwear, and fans were quick to notice the surgical plasters next to her belly button",2022-01-28 16:51:43,Ellie Phillips For Mailonline
'Just get a grip!' Joanna Lumley slams people for jumping on the 'mental health bandwagon' and says it's 'awful for people who're actually clinically ill',/tvshowbiz/article-10452869/Joanna-Lumley-slams-people-jumping-mental-illness-bandwagon.html,"During an interview on GB News the TV presenter, 75, - who has previously spoken about having a breakdown in her 20s - was asked about her work supporting the mental health charity mind.",2022-01-28 16:52:56,Amelia Wynne For Mailonline
Nick Carter shows off lean figure after 10lb weight loss as he celebrates his birthday: 'Heading into 42 healthier than ever!',/tvshowbiz/article-10452749/Nick-Carter-shows-lean-figure-10-pound-weight-loss.html,Nick Carter is working hard and proudly showing off his progress. The 42-year-old showed off his 10 pound weight loss transformation to his nearly two million Instagram followers.,2022-01-28 17:03:13,Janelle Ash For Dailymail.Com
"'I would rather be working': Minnie Driver, 51, shows off her youthful physique in a black bikini as she sips a cocktail on her Barbados getaway",/tvshowbiz/article-10452795/Minnie-Driver-shows-youthful-figure-black-bikini-holiday-Barbados.html,"The actress, 51, was all smiles as she posed up a storm on Thursday in a black tie back bandeau bikini which she teamed with swimming bottoms.",2022-01-28 17:05:42,Jonathan Rose For Mailonline
Adele's Las Vegas residency 'may not go forward AT ALL' as Caesars Palace and Live Nation 'try to reach deal with singer over various disputes' after her 'furious row with designer',/tvshowbiz/article-10452805/Adeles-residency-not-forward-Caesars-Palace-Live-Nation-try-reach-deal.html,Live Nation and Caesars Palace are allegedly struggling to strike a deal with Adele fast enough to save her Las Vegas residency. Adele dramatically withdrew from the engagement last week.,2022-01-28 17:09:23,Sameer Suri
